Product_Name,Product Family,Product Design,Product Fabric,Price,Sale_Price,Avaliable_Colors,Product_ID,Absolute_Path
"ABC Slim-Fit Pant 30"" *Warpstreme Online Only",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod9610173,/p/men-pants/ABC-Pant-Slim-30/_/prod9610173
"Commission Slim-Fit Pant 30"" *Warpstreme Online Only",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Trench, True Navy",prod9600635,/p/mens-trousers/Commission-Pant-Slim/_/prod9600635
"Commission Slim-Fit Pant 34"" *Warpstreme",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Classic Navy, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod8600440,/p/mens-trousers/Commission-Pant-Slim-Warpstreme-34/_/prod8600440
"ABC Classic-Fit Pant 30"" *Warpstreme Online Only",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod9640029,/p/mens-trousers/ABC-Pant-Classic-30/_/prod9640029
"Commission Classic-Fit Pant 34"" *Warpstreme",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod9510404,/p/mens-trousers/Commission-Pant-Classic-Warpstreme-34/_/prod9510404
"Commission Classic-Fit Pant 30"" *Warpstreme Online Only",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench",prod9600634,/p/mens-trousers/Commission-Pant-Classic/_/prod9600634
"ABC Classic-Fit Pant 32"" *Utilitech Online Only",ABC,On the Move,Utilitech Fabric,128.0,0.0,"Artifact, Black, Bone, Dark Olive, Iron Blue, Trench, White",prod10080327,/p/mens-trousers/ABC-Pant-Classic-Utilitech-32/_/prod10080327
"ABC Slim-Fit Pant 34"" *Warpstreme",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Smoked Spruce, Trench, True Navy, Vapor",prod9090037,/p/mens-trousers/Abc-Slim-5-Pocket-34/_/prod9090037
"ABC Slim-Fit Pant 32"" *Utilitech",ABC,On the Move,Utilitech Fabric,128.0,0.0,"Artifact, Black, Bone, Dark Olive, Iron Blue, Seal Grey, Trench, True Navy, White",prod10050064,/p/mens-trousers/ABC-Pant-Slim-Utilitech-32/_/prod10050064
"ABC Slim-Fit Pant 28"" *Warpstreme Online Only",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod10390084,/p/mens-trousers/Abc-Slim-5-Pocket-28-US/_/prod10390084
"ABC Classic-Fit Pant 34"" *Warpstreme",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Smoked Spruce, Trench, True Navy",prod3470051,/p/mens-trousers/ABC-Pant-Classic-34/_/prod3470051
"Commission Slim-Fit Pant 28"" *Warpstreme Online Only",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod10390086,/p/mens-trousers/Commission-Pant-Slim-Warp-28/_/prod10390086
"ABC Classic-Fit Pant 34"" *Utilitech Online Only",ABC,On the Move,Utilitech Fabric,128.0,0.0,"Artifact, Black, Bone, Dark Olive, Iron Blue, Seal Grey, Trench",prod10080328,/p/mens-trousers/ABC-Pant-Classic-Utilitech-34/_/prod10080328
"ABC Classic-Fit Pant 37"" *Warpstreme Online Only",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Melanite, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod3470052,/p/mens-trousers/ABC-Pant-Classic-37/_/prod3470052
"Commission Slim-Fit Pant 37"" *Warpstreme Online Only",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod9090042,/p/mens-trousers/Commission-Pant-Slim-Warpstreme-37/_/prod9090042
"ABC Classic-Fit Pant 28"" *Warpstreme Online Only",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod10440060,/p/mens-trousers/ABC-Pant-Classic-28/_/prod10440060
"Commission Classic-Fit Pant 28"" *Warpstreme Online Only",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod10390085,/p/mens-trousers/Commission-Pant-Classic-Warpstreme-28/_/prod10390085
"In Mind Pant 30"" *Online Only",Other,Yoga,Other,118.0,0.0,"Black, Graphite Grey, Obsidian",prod8555540,/p/men-joggers/In-Mind-Pant-Short/_/prod8555540
City Sweat Jogger,City Sweat,On the Move,Terry Fabric,118.0,0.0,"Black, Classic Navy, Grey Sage, Heathered Ultra Light Grey/Sea Salt, Raw Linen, Tidal Teal, Utility Blue",prod1780030,/p/men-joggers/City-Sweat-Jogger/_/prod1780030
City Sweat Jogger Tall *Online Only,City Sweat,On the Move,Terry Fabric,118.0,0.0,"Black, Classic Navy, Grey Sage, Heathered Ultra Light Grey/Sea Salt, Raw Linen",prod7390343,/p/men-joggers/City-Sweat-Jogger-Tall/_/prod7390343
City Sweat Jogger Shorter *Online Only,City Sweat,On the Move,Terry Fabric,118.0,0.0,"Black, Classic Navy, Grey Sage, Heathered Ultra Light Grey/Sea Salt, Raw Linen",prod9770060,/p/men-joggers/City-Sweat-Jogger-Shorter-Terry/_/prod9770060
"SenseKnit Running Tight 28""",Running,Running,SenseKnit Technology,168.0,0.0,"Black, Carbon Dust, Rhino Grey, Smoked Spruce",prod11020329,/p/men-pants/SenseKnit-Running-Tight-28/_/prod11020329
"Commission Slim-Fit Pant 32"" *WovenAir",Commission,On the Move,WovenAir Fabric,128.0,0.0,"Blue Linen, Bone, Classic Navy, Graphite Grey, Raw Linen",prod11210012,/p/men-pants/Commission-Pant-Slim-Light-Woven/_/prod11210012
"Commission Slim-Fit Pant 34"" *WovenAir",Commission,On the Move,WovenAir Fabric,128.0,0.0,"Blue Linen, Bone, Classic Navy, Graphite Grey",prod11210014,/p/men-pants/Commission-Pant-Slim-Woven/_/prod11210014
Relaxed-Fit French Terry Jogger,Unspecified Jogger,On the Move,Terry Fabric,128.0,0.0,"Black, Nomad",prod10520376,/p/men-joggers/Relaxed-Fit-French-Terry-Jogger/_/prod10520376
"License to Train Tight 21""",License to Train,Training,Luxtreme Fabric,98.0,0.0,"Black, Carbon Dust",prod10641689,/p/men-tights/License-to-Train-Tight-21/_/prod10641689
"Commission Relaxed-Tapered Golf Pant 34"" *Online Only",Commission,Golf,Stretch Fabric,148.0,0.0,"Night Sea, Rhino Grey, Trench, White",prod11380565,/p/men-pants/Commission-Relaxed-Tapered-Golf-Pant/_/prod11380565
License to Train Cargo Jogger,License to Train,Training,Swift Fabric,148.0,0.0,"Black, Seal Grey",prod11000152,/p/men-joggers/License-to-Train-Cargo-Jogger/_/prod11000152
lululemon lab Overalls *Online Only,Lab,On the Move,Water-Repellent Fabric,198.0,0.0,Black,prod10950103,/p/men-pants/lululemon-lab-Overalls/_/prod10950103
"lululemon lab Stretch Woven Pant 26""",Lab,On the Move,Water-Repellent Fabric,178.0,0.0,"Black, Light Chrome",prod11380257,/p/men-pants/lululemon-lab-Stretch-Woven-Pant-26/_/prod11380257
"SenseKnit Composite Running Tight 29""",Running,Running,SenseKnit Technology,198.0,0.0,"Black, Green Jasper/Submarine",prod11250582,/p/men-joggers/Senseknit-Composite-Running-Tight-29/_/prod11250582
Classic-Fit Hiking Pant,Hiking,Hiking,Stretch Fabric,148.0,0.0,"Black, Bronze Green",prod11020135,/p/men-pants/Classic-Fit-Hiking-Pant-30/_/prod11020135
"ABC Slim-Fit Pant 37"" *Warpstreme Online Only",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod9400064,/p/mens-trousers/ABC-Slim-Warpstreme-37/_/prod9400064
Intent Jogger *Online Only,Unspecified Jogger,Yoga,Other,108.0,0.0,"Black, Heathered Black",prod1590178,/p/men-joggers/Intent-Pant/_/prod1590178
At Ease Jogger,Unspecified Jogger,On the Move,Other,128.0,0.0,"Heathered Black/Black, Heathered Melody Light Grey/Black, Light Ivory",prod9270550,/p/men-joggers/At-Ease-Jogger/_/prod9270550
ABC Jogger Shorter *Warpstreme,ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Black, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, True Navy",prod9270549,/p/men-joggers/Abc-Jogger-Shorter-28/_/prod9270549
Surge Hybrid Pant Shorter *Online Only,Surge,Running,Swift Fabric,128.0,0.0,"Black, Graphite Grey, True Navy",prod9750643,/p/men-joggers/Surge-Hybrid-Pant-Shorter/_/prod9750643
Surge Hybrid Pant *Tall Online Only,Surge,Running,Swift Fabric,128.0,0.0,"Black, Graphite Grey, Grey Sage, True Navy",prod9750644,/p/men-joggers/Surge-Hybrid-Pant-Tall/_/prod9750644
ABC Jogger Tall *Warpstreme,ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Black, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, True Navy",prod9490156,/p/men-joggers/ABC-Jogger-Tall/_/prod9490156
ABC Skinny-Fit Jogger,ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Black, Grey Sage, Iron Blue",prod9640028,/p/men-joggers/Abc-Jogger-Skinny/_/prod9640028
Surge Jogger *Tall Online Only,Surge,Running,Quick-Drying Fabric,118.0,0.0,"Black, Graphite Grey, Iron Blue, Red Merlot, Smoked Spruce, True Navy",prod9610200,/p/men-joggers/Surge-Jogger-31/_/prod9610200
Surge Hybrid Pant *Online Only,Surge,Running,Swift Fabric,128.0,0.0,"Black, Graphite Grey, True Navy",prod9750642,/p/men-joggers/Surge-Hybrid-Pant/_/prod9750642
"License to Train Tight 27""",License to Train,Training,Luxtreme Fabric,98.0,0.0,Black,prod10641690,/p/men-tights/License-to-Train-Tight-27/_/prod10641690
Surge Jogger Shorter *Online Only,Surge,Running,Quick-Drying Fabric,118.0,0.0,"Black, Graphite Grey, Iron Blue, Raw Linen, Red Merlot, Smoked Spruce, True Navy",prod9610199,/p/men-joggers/Surge-Jogger-27/_/prod9610199
New Venture Trouser *Pique Fabric,New Venture,On the Move,Other,148.0,0.0,"Black, Carob Brown, Classic Navy, Natural Ivory",prod11020275,/p/mens-trousers/New-Venture-Trouser-Pique/_/prod11020275
City Sweat Slim-Fit Pant *Online Only,City Sweat,On the Move,Terry Fabric,118.0,0.0,"Black, Classic Navy, Heathered Ultra Light Grey/Sea Salt",prod9780071,/p/men-joggers/City-Sweat-Pant-Slim/_/prod9780071
"Surge Warm Tight 29""",Surge,Running,Luxtreme Fabric,128.0,0.0,Black,prod10641898,/p/men-tights/Surge-Warm-Tight-29/_/prod10641898
"Fast and Free Cold Weather Running Pant 28"" *Online Only",Running,Running,Luxtreme Fabric,168.0,0.0,"Black, Graphite Grey, Vapor",prod11130380,/p/men-pants/Fast-and-Free-Cold-Run-Pant-28/_/prod11130380
New Venture Trouser *Twill Fabric,New Venture,On the Move,Other,148.0,0.0,"Black, Medium Olive, Trench",prod11090021,/p/men-pants/New-Venture-Trouser-Twill-Fabric/_/prod11090021
Waterproof Rain Shell Hiking Pant *Online Only,Hiking,Hiking,Other,198.0,0.0,Black,prod11130434,/p/men-pants/Waterproof-Rain-Shell-Hike-Pant-30/_/prod11130434
"Commission Classic-Fit Pant 37"" *Warpstreme Online Only",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod9510027,/p/mens-trousers/Commission-Pant-Classic-Warpstreme-37/_/prod9510027
"Commission Relaxed-Tapered Golf Pant 30""",Commission,On the Move,Stretch Fabric,148.0,0.0,White,prod10980277,/p/men-pants/Commission-Golf-Pant-30/_/prod10980277
lululemon lab Fleece Track Pant Online Only,Lab,On the Move,Fleece Fabric,168.0,0.0,"Black, Rover",prod11240115,/p/men-pants/LAB-Fleece-Track-Pant/_/prod11240115
"Keep the Heat Thermal Tight 27"" *Online Only",Other,Training,Wool-Blend Fabric,128.0,0.0,"Black, Gull Grey",prod9960717,/p/men-tights/Keep-The-Heat-Thermal-Tight-M/_/prod9960717
lululemon lab Nulu Relaxed-Fit Yoga Pants,Lab,Yoga,Other,148.0,0.0,"Black, Rover",prod11250226,/p/men-pants/lululemon-Lab-Nulu-RF-Yoga-Pants/_/prod11250226
lululemon lab Woven Straight Leg Pant Online Only,Lab,On the Move,Water-Repellent Fabric,188.0,0.0,Nano Check Antique White Riverstone,prod11240133,/p/men-pants/LAB-Woven-Straight-Leg-Pant/_/prod11240133
"Balancer Cropped Pant 22""",Balancer,Yoga,Everlux Fabric,128.0,0.0,Heathered Black,prod11020119,/p/men-joggers/Balancer-Crop-Pant-22/_/prod11020119
"Surge Tight 28"" *Online Only",Surge,Running,Nulux Fabric,128.0,0.0,Black,prod4500395,/p/men-tights/Surge-Tight-Nulux-28/_/prod4500395
License to Train Pant,License to Train,Training,Other,128.0,0.0,"Black, Graphite Grey, Raw Linen",prod9000107,/p/mens-sweatpants/License-To-Train-Pant-29/_/prod9000107
lululemon lab Woven Shock Cord Cuff Jogger Online Only,Lab,On the Move,Water-Repellent Fabric,188.0,0.0,Nano Check Rover Black,prod11240059,/p/men-pants/LAB-Woven-Shock-Cord-Cuff-Jogger/_/prod11240059
Insulated Hiking Pant,Hiking,Hiking,Other,248.0,0.0,Black,prod11250108,/p/men-pants/Insulated-Hiking-Pant-30/_/prod11250108
"Balancer Pant 27""",Balancer,Yoga,Everlux Fabric,128.0,0.0,Heathered Black,prod10370080,/p/mens-sweatpants/Balancer-Pant-27/_/prod10370080
"Surge Tight 22"" *Nulux Online Only",Surge,Running,Nulux Fabric,128.0,0.0,Black,prod9310042,/p/men-tights/Surge-Tight-Nulux-22/_/prod9310042
Rulu Fleece Base Layer Hiking Pant *Online Only,Hiking,Hiking,Other,118.0,0.0,Black,prod11130142,/p/men-pants/Rulu-Fleece-Base-Layer-Hike-Pant-28/_/prod11130142
Engineered Warmth Jogger,Unspecified Jogger,On the Move,Other,168.0,0.0,"Green Foliage/Carob Brown/Black, Natural Ivory/Natural Ivory",prod9600637,/p/men-joggers/Engineered-Warmth-Jogger-M/_/prod9600637
Fleece Hiking Pant,Hiking,Hiking,Fleece Fabric,198.0,0.0,Black,prod11140068,/p/men-pants/Fleece-Hike-Pant-29/_/prod11140068
"Surge Tight 22"" *Online Only",Surge,Running,Nulux Fabric,128.0,0.0,Black,prod11020348,/p/men-tights/Surge-Tight-22/_/prod11020348
"Vital Drive Training Tight 28"" *Online Only",Other,Training,Other,128.0,0.0,Black,prod9750645,/p/men-tights/Vital-Drive-Tight-28/_/prod9750645
"Commission Classic-Fit Pant 28"" *Tech Woven",Commission,On the Move,Wool-Blend Fabric,128.0,0.0,Rover,prod10850374,/p/men-pants/Commission-Classic-Fit-Pant-28Woven/_/prod10850374
Surge Jogger *Tall,Surge,Running,Quick-Drying Fabric,118.0,99.0,Dark Olive,prod9730096,/p/men-joggers/Surge-Jogger-31-MD/_/prod9730096
ABC Skinny-Fit Jogger *Warpstreme Online Only,ABC,On the Move,Warpstreme Fabric,128.0,99.0,"Artifact, Carbon Dust, Dark Olive, Obsidian, True Navy",prod11090147,/p/men-joggers/Abc-Jogger-Skinny-MD/_/prod11090147
"Surge Warm Tight 29""",Surge,Running,Luxtreme Fabric,128.0,109.0,"Graphite Grey, True Navy",prod10642271,/p/men-tights/Surge-Warm-Tight-29-MD/_/prod10642271
City Sweat Jogger,City Sweat,On the Move,Terry Fabric,118.0,59.0,"Dark Mocha, Juniper Green, Mulled Wine, Silver Blue, Tidewater Teal, White Opal",prod9340012,/p/men-joggers/City-Sweat-Jogger-MD/_/prod9340012
City Sweat Jogger *Tall,City Sweat,On the Move,Terry Fabric,118.0,59.0,"Dark Mocha, Green Jasper, Powder Blue",prod8250154,/p/men-joggers/City-Sweat-Jogger-Tall-MD/_/prod8250154
"SenseKnit Running Tight 28""",Running,Running,SenseKnit Technology,168.0,129.0,Gull Grey,prod11440077,/p/men-pants/SenseKnit-Running-Tight-28-MD/_/prod11440077
Gridliner Pull-On Trouser,Pull-On,On the Move,Fleece Fabric,148.0,99.0,"Heathered Black, Heathered Gull Grey, Heathered Natural Ivory",prod11340091,/p/mens-trousers/Gridliner-Pull-On-Trouser-26-MD/_/prod11340091
New Venture Trouser *Pique Fabric,New Venture,On the Move,Other,148.0,99.0,Dark Mocha,prod11340088,/p/men-pants/New-Venture-Trouser-Pique-MD/_/prod11340088
"License to Train Tight 21""",License to Train,Training,Luxtreme Fabric,98.0,59.0,"Carob Brown, Medium Olive, Vapor, White",prod10642062,/p/men-tights/License-to-Train-Tight-21-MD/_/prod10642062
"License to Train Tight 27"" *Online Only",License to Train,Training,Luxtreme Fabric,98.0,69.0,"Medium Olive, True Navy",prod10642063,/p/men-tights/License-to-Train-Tight-27-MD/_/prod10642063
Keep the Heat Thermal Tight *Online Only,Other,Running and Training,Wool-Blend Fabric,128.0,99.0,"Black, Heathered Green Jasper, Purple Ash",prod9290015,/p/men-tights/Keep-The-Heat-Thermal-Tight-M-MD/_/prod9290015
License to Train Jogger,License to Train,Training,Swift Fabric,128.0,79.0,"Green Twill, Raw Linen",prod10410007,/p/men-joggers/License-to-Train-Jogger-MD/_/prod10410007
"New Year License to Train Tight 27""",License to Train,Training,Luxtreme Fabric,98.0,59.0,Red Merlot,prod11420023,/p/men-tights/NY-License-To-Train-Tight-27-MD/_/prod11420023
Surge Jogger,Surge,Running,Quick-Drying Fabric,118.0,79.0,"Dark Olive, Silver Drop",prod9201444,/p/men-joggers/Surge-Jogger-MD/_/prod9201444
"ABC Slim-Fit Pant 32"" *Utilitech",ABC,On the Move,Utilitech Fabric,128.0,99.0,Green Jasper,prod10390149,/p/mens-trousers/ABC-Pant-Slim-Utilitech-32-MD/_/prod10390149
"ABC Slim-Fit Pant 34"" *Utilitech",ABC,On the Move,Utilitech Fabric,128.0,99.0,"Dark Mocha, Green Jasper",prod10390152,/p/mens-trousers/ABC-Pant-Slim-Utilitech-34-MD/_/prod10390152
"Commission Slim-Fit Pant 32"" *WovenAir",Commission,On the Move,WovenAir Fabric,128.0,89.0,Vapor,prod11210210,/p/mens-trousers/Commission-Pant-Slim-Light-Woven-MD/_/prod11210210
At Ease Jogger,Unspecified Jogger,On the Move,Other,128.0,59.0,Cassis,prod9280424,/p/men-joggers/At-Ease-Jogger-MD/_/prod9280424
"New Year License to Train Tight 21""",License to Train,Training,Luxtreme Fabric,98.0,59.0,Red Merlot,prod11420022,/p/men-tights/NY-License-To-Train-Tight-21-MD/_/prod11420022
"Balancer Pant 27""",Balancer,Yoga,Everlux Fabric,128.0,89.0,"Heathered Gull Grey, Heathered Natural Ivory",prod10870011,/p/mens-sweatpants/Balancer-Pant-27-MD/_/prod10870011
New Year License to Train Jogger,License to Train,Training,Swift Fabric,128.0,79.0,Red Merlot,prod11420015,/p/men-joggers/NY-License-To-Train-Jogger-MD/_/prod11420015
"Classic-Fit Hiking Pant 30""",Hiking,Hiking,Stretch Fabric,148.0,99.0,Carob Brown,prod11170111,/p/mens-trousers/Classic-Fit-Hiking-Pant-30-MD/_/prod11170111
"Balancer Cropped Pant 22"" *Online Only",Balancer,Yoga,Everlux Fabric,128.0,79.0,"Heathered Gull Grey, Heathered Natural Ivory, Heathered Seal Grey",prod11270069,/p/mens-sweatpants/Balancer-Crop-Pant-22-MD/_/prod11270069
"ABC Classic-Fit Pant 34"" *Utilitech",ABC,On the Move,Utilitech Fabric,128.0,99.0,"Dark Mocha, Green Jasper",prod10390145,/p/mens-trousers/ABC-Pant-Classic-Utilitech-34-MD/_/prod10390145
City Sweat Jogger Shorter Length *Online Only,City Sweat,On the Move,Terry Fabric,118.0,89.0,Powder Blue,prod10620122,/p/men-joggers/City-Sweat-Jogger-Terry-Short-MD/_/prod10620122
ABC Relaxed-Fit Cropped Pant *Utilitech,ABC,On the Move,Utilitech Fabric,128.0,79.0,"Dark Olive, Green Jasper, True Navy",prod10880001,/p/men-pants/ABC-Crop-Pant-Relaxed-Utilitech-MD/_/prod10880001
Surge Hybrid Pant Shorter *Reflective Online Only,Surge,,Other,128.0,69.0,Gull Grey,prod11400134,/p/men-pants/Surge-Hybrid-Pant-Shorter-RFL-MD/_/prod11400134
"ABC Classic-Fit Pant 32"" *Utilitech",ABC,On the Move,Utilitech Fabric,128.0,99.0,Dark Mocha,prod10390143,/p/mens-trousers/ABC-Pant-Classic-Utilitech-32-MD/_/prod10390143
Classic-Fit Fleece Jogger,Unspecified Jogger,,Other,128.0,79.0,Green Jasper,prod11340090,/p/men-joggers/Polar-Fleece-Jogger-MD/_/prod11340090
Discipline Pant Tall,Discipline,Yoga,Other,108.0,79.0,Heathered Black,prod9710448,/p/mens-sweatpants/Discipline-Pant-T-MD/_/prod9710448
ABC Wool-Blend Jogger,ABC,On the Move,Wool-Blend Fabric,148.0,99.0,Gull Grey,prod11340093,/p/men-joggers/ABC-Wool-Blend-Jogger-MD/_/prod11340093
"Commission Slim-Fit Pant 32"" *Warpstreme",Commission,On the Move,Warpstreme Fabric,128.0,89.0,Dark Mocha,prod10900097,/p/mens-trousers/Commission-Pant-Slim-Warpstreme-32-MD/_/prod10900097
Utilitech Pull-On Relaxed-Fit Pant,Pull-On,On the Move,Utilitech Fabric,128.0,89.0,Natural Ivory,prod11340085,/p/men-pants/Utilitech-Pull-On-Relaxed-Pant-27-MD/_/prod11340085
